club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
2424,gil-vicente-fc,Gil Vicente FC,PO1,,24,24.3,16,66.7,3,Estádio Cidade de Barcelos,12046,+€7.90m,null,2023,https://www.transfermarkt.co.uk/gil-vicente-fc/startseite/verein/2424
2439,kuban-krasnodar,Kuban Krasnodar (-2018),RU1,,0,,0,,0,Kuban Stadium,31654,+-0,null,2015,https://www.transfermarkt.co.uk/kuban-krasnodar/startseite/verein/2439
2715,rfc-seraing,RFC Seraing,BE1,,22,23.5,13,59.1,2,Stade du Paray,6744,+€400k,null,2022,https://www.transfermarkt.co.uk/rfc-seraing/startseite/verein/2715
28095,fk-ufa,FK Ufa,RU1,,26,24.4,3,11.5,0,Neftyanik,15132,+€4.84m,null,2021,https://www.transfermarkt.co.uk/fk-ufa/startseite/verein/28095
2861,kv-oostende,KV Oostende,BE1,,26,23.3,14,50.0,2,Diaz Arena,8432,+-0,null,2022,https://www.transfermarkt.co.uk/kv-oostende/startseite/verein/2861
3008,hull-city,Hull City,GB1,,28,25.0,17,60.7,6,MKM Stadium,25586,+€7.50m,null,2016,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
3329,fc-famalicao,FC Famalicão,PO1,,28,23.2,17,60.7,4,Estádio Municipal de Famalicão,5305,+€1.70m,null,2023,https://www.transfermarkt.co.uk/fc-famalicao/startseite/verein/3329
347,fc-metz,FC Metz,FR1,,26,24.5,18,69.2,5,Stade Saint-Symphorien,28786,+€11.10m,null,2023,https://www.transfermarkt.co.uk/fc-metz/startseite/verein/347
350,sheffield-united,Sheffield United,GB1,,24,25.8,17,70.8,9,Bramall Lane,32702,€-7.30m,null,2023,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
371,celtic-glasgow,Celtic FC,SC1,,31,25.4,24,77.4,17,Celtic Park,60832,+€20.07m,null,2023,https://www.transfermarkt.co.uk/celtic-glasgow/startseite/verein/371
40426,fk-tosno,FC Tosno (-2018),RU1,,0,,0,,0,Petrovsky,20985,+-0,null,2017,https://www.transfermarkt.co.uk/fk-tosno/startseite/verein/40426
